id,number_of_vertices,asymmetric_depth,degree_sequence,graph_representation,g6string
54,9,2,"(4, 4, 4, 4, 3, 3, 2, 1, 1)","{1: [8, 9, 5, 7], 2: [8, 9, 6], 3: [6], 4: [8, 7], 5: [1], 6: [2, 3, 7], 7: [1, 4, 6, 9], 8: [1, 2, 4, 9], 9: [1, 2, 7, 8]}",H?SPXiF
55,9,2,"(5, 5, 4, 4, 3, 3, 2, 2, 2)","{1: [8, 5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6, 8], 8: [1, 2, 4, 7, 9], 9: [3, 4, 5, 6, 8]}",H@B?zYZ
56,9,2,"(5, 5, 4, 4, 3, 3, 3, 2, 1)","{1: [8, 5, 7], 2: [8, 9, 6], 3: [6], 4: [8, 9, 7], 5: [1, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6, 8], 8: [1, 2, 4, 7, 9], 9: [2, 4, 5, 6, 8]}",H?O\Hxr
57,9,2,"(5, 5, 4, 4, 3, 3, 3, 2, 1)","{1: [8, 5, 7], 2: [8, 9, 6], 3: [6], 4: [8, 9, 7], 5: [1, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6, 8, 9], 8: [1, 2, 4, 7], 9: [2, 4, 5, 6, 7]}",H?O|?|r
58,9,2,"(5, 5, 4, 4, 4, 3, 2, 2, 1)","{1: [8, 9, 5, 7], 2: [8, 9, 6], 3: [6], 4: [8, 7], 5: [1, 9], 6: [2, 3, 7, 8, 9], 7: [1, 4, 6, 9], 8: [1, 2, 4, 6], 9: [1, 2, 5, 6, 7]}",H?HIpyV
59,9,2,"(5, 5, 4, 3, 3, 3, 3, 2, 2)","{1: [8, 5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1, 8, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6], 8: [1, 2, 4, 5, 9], 9: [3, 4, 5, 6, 8]}",H@?]Jqj
60,9,2,"(4, 4, 4, 4, 2, 2, 2, 2, 2)","{1: [8, 9, 5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 7], 5: [1, 7], 6: [2, 3], 7: [1, 4, 5, 9], 8: [1, 2, 4, 9], 9: [1, 3, 7, 8]}",Ho@OpKN
61,9,2,"(4, 4, 4, 4, 2, 2, 2, 2, 2)","{1: [5, 7], 2: [6, 7], 3: [8, 6], 4: [8, 9], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 2, 6, 9], 8: [3, 4, 5, 9], 9: [4, 6, 7, 8]}",H_@XdCN
62,9,2,"(6, 5, 5, 3, 3, 3, 3, 3, 1)","{1: [9, 5, 7], 2: [9, 6, 7], 3: [8, 9, 6], 4: [8], 5: [1, 8, 9], 6: [2, 3, 7], 7: [1, 2, 6, 8, 9], 8: [3, 4, 5, 7, 9], 9: [1, 2, 3, 5, 7, 8]}",H@D?~Dn
63,9,2,"(6, 5, 5, 5, 3, 3, 3, 3, 1)","{1: [9, 5, 7], 2: [9, 6, 7], 3: [8, 9, 6], 4: [8], 5: [1, 8, 9], 6: [2, 3, 7, 8, 9], 7: [1, 2, 6, 8, 9], 8: [3, 4, 5, 6, 7], 9: [1, 2, 3, 5, 6, 7]}",HG?g}l}
64,9,2,"(5, 4, 4, 4, 3, 2, 2, 2, 2)","{1: [5, 7], 2: [8, 6, 7], 3: [9, 6], 4: [8, 9], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 2, 6, 9], 8: [2, 4, 5, 9], 9: [3, 4, 6, 7, 8]}",H_@[PSv
65,9,2,"(5, 4, 4, 4, 3, 3, 2, 2, 1)","{1: [5, 7], 2: [8, 9, 6, 7], 3: [9, 6], 4: [8], 5: [1, 8, 9], 6: [2, 3, 7], 7: [1, 2, 6, 9], 8: [2, 4, 5, 9], 9: [2, 3, 5, 7, 8]}",H@OQkWn
66,9,2,"(6, 4, 4, 4, 4, 3, 2, 2, 1)","{1: [5, 7], 2: [8, 9, 6, 7], 3: [9, 6], 4: [8], 5: [1, 8, 9], 6: [2, 3, 9, 7], 7: [1, 2, 6, 9], 8: [2, 4, 5, 9], 9: [2, 3, 5, 6, 7, 8]}",H@@H[p^
67,9,2,"(6, 4, 4, 4, 4, 2, 2, 2, 2)","{1: [5, 7], 2: [8, 9, 6, 7], 3: [9, 6], 4: [8, 9], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 2, 6, 9], 8: [2, 4, 5, 9], 9: [2, 3, 4, 6, 7, 8]}",H_U@G[~
68,9,2,"(5, 4, 4, 3, 3, 3, 3, 2, 1)","{1: [9, 5, 7], 2: [8, 6, 7], 3: [9, 6], 4: [8], 5: [1, 8, 9], 6: [2, 3, 7], 7: [1, 2, 6, 9], 8: [2, 4, 5, 9], 9: [1, 3, 5, 7, 8]}",H?HO|`j
69,9,2,"(5, 4, 4, 3, 3, 3, 3, 2, 1)","{1: [9, 5, 7], 2: [8, 9, 6, 7], 3: [9, 6], 4: [8], 5: [1, 8, 9], 6: [2, 3, 9, 7], 7: [1, 2, 6], 8: [2, 4, 5], 9: [1, 2, 3, 5, 6]}",H@IOYTr
70,9,2,"(6, 4, 4, 4, 3, 3, 3, 2, 1)","{1: [9, 5, 7], 2: [8, 9, 6, 7], 3: [9, 6], 4: [8], 5: [1, 8, 9], 6: [2, 3, 9, 7], 7: [1, 2, 6], 8: [2, 4, 5, 9], 9: [1, 2, 3, 5, 6, 8]}",H@GI[hv
71,9,2,"(5, 4, 4, 3, 3, 3, 2, 2, 2)","{1: [9, 5, 7], 2: [8, 9, 6, 7], 3: [9, 6], 4: [8, 9], 5: [1, 8], 6: [2, 3, 7], 7: [1, 2, 6, 9], 8: [2, 4, 5], 9: [1, 2, 3, 4, 7]}",HDH?g^J
72,9,2,"(5, 4, 4, 3, 3, 3, 2, 2, 2)","{1: [9, 5, 7], 2: [8, 9, 6, 7], 3: [9, 6], 4: [8, 9], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 2, 6], 8: [2, 4, 5], 9: [1, 2, 3, 4, 6]}",HBGKGnJ
73,9,2,"(5, 5, 5, 3, 3, 3, 3, 2, 1)","{1: [9, 5, 7], 2: [8, 6, 7], 3: [9, 6], 4: [8], 5: [1, 8, 9], 6: [2, 3, 7], 7: [1, 2, 6, 8, 9], 8: [2, 4, 5, 7, 9], 9: [1, 3, 5, 7, 8]}",H@@Gzej
74,9,2,"(5, 5, 4, 4, 3, 3, 3, 2, 1)","{1: [9, 5, 7], 2: [8, 6, 7], 3: [9, 6], 4: [8], 5: [1, 8, 9], 6: [2, 3, 9, 7], 7: [1, 2, 6, 8, 9], 8: [2, 4, 5, 7], 9: [1, 3, 5, 6, 7]}",H@@LO|t
75,9,2,"(5, 4, 4, 4, 4, 3, 2, 2, 2)","{1: [9, 5, 7], 2: [8, 9, 6, 7], 3: [9, 6], 4: [8, 9], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 2, 6, 8], 8: [2, 4, 5, 7], 9: [1, 2, 3, 4, 6]}",H@?Y\ZY
76,9,2,"(5, 5, 4, 4, 3, 3, 3, 2, 1)","{1: [5, 7], 2: [8, 6, 7], 3: [8, 9, 6], 4: [9], 5: [1, 8, 9], 6: [2, 3, 9, 7], 7: [1, 2, 6, 8, 9], 8: [2, 3, 5, 7], 9: [3, 4, 5, 6, 7]}",H?Oxamj
77,9,2,"(5, 5, 5, 3, 3, 3, 3, 3, 0)","{1: [9, 5, 7], 2: [8, 6, 7], 3: [8, 9, 6], 4: [], 5: [1, 8, 9], 6: [2, 3, 7], 7: [1, 2, 6, 8, 9], 8: [2, 3, 5, 7, 9], 9: [1, 3, 5, 7, 8]}",H@P@p\V
78,9,2,"(5, 5, 4, 4, 3, 3, 3, 2, 1)","{1: [9, 5, 7], 2: [8, 6, 7], 3: [8, 9, 6], 4: [9], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 2, 6, 8, 9], 8: [2, 3, 5, 7], 9: [1, 3, 4, 6, 7]}",H?Or_}l
79,9,2,"(6, 5, 5, 3, 3, 3, 3, 3, 1)","{1: [9, 5, 7], 2: [8, 6, 7], 3: [8, 9, 6], 4: [9], 5: [1, 8, 9], 6: [2, 3, 7], 7: [1, 2, 6, 8, 9], 8: [2, 3, 5, 7, 9], 9: [1, 3, 4, 5, 7, 8]}",H@P@Ymz
80,9,2,"(6, 5, 4, 4, 3, 3, 3, 3, 1)","{1: [9, 5, 7], 2: [8, 6, 7], 3: [8, 9, 6], 4: [9], 5: [1, 8, 9], 6: [2, 3, 7, 8, 9], 7: [1, 2, 6, 9], 8: [2, 3, 5, 6], 9: [1, 3, 4, 5, 6, 7]}",HG@XO~r
81,9,2,"(6, 5, 5, 5, 3, 3, 3, 3, 1)","{1: [9, 5, 7], 2: [8, 6, 7], 3: [8, 9, 6], 4: [9], 5: [1, 8, 9], 6: [2, 3, 7, 8, 9], 7: [1, 2, 6, 8, 9], 8: [2, 3, 5, 6, 7], 9: [1, 3, 4, 5, 6, 7]}",HG?yW~r
82,9,2,"(5, 4, 4, 4, 3, 2, 2, 2, 2)","{1: [5, 7], 2: [8, 9, 6, 7], 3: [8, 6], 4: [8, 9], 5: [1, 9], 6: [2, 3, 9, 7], 7: [1, 2, 6], 8: [2, 3, 4, 9], 9: [2, 4, 5, 6, 8]}",HAE`O^F
